season,match,week,home,away,venue,toss_winner,batted_first,first_total,second_total,winner
1,106,1,0,1,0,1,0,202,191,0
1,107,1,6,9,6,9,6,147,148,9
1,108,1,2,0,2,0,2,169,172,0
1,109,1,4,7,4,4,7,184,165,7
1,110,1,4,0,4,4,0,175,178,4
1,111,1,1,6,1,6,1,163,160,1
1,112,1,4,8,4,8,4,209,210,8
1,113,1,9,2,9,2,9,247,188,9
1,114,2,2,9,2,2,9,232,184,9
1,115,2,0,7,0,7,0,205,158,0
1,116,2,9,0,9,9,0,182,186,9
1,117,2,8,4,8,8,4,155,158,8
1,118,2,3,8,3,3,8,242,211,8
1,119,2,1,4,1,1,4,149,150,1
1,120,2,0,3,0,3,0,196,192,0
1,121,2,9,4,9,9,4,127,131,9
1,122,2,3,0,3,3,0,198,182,0
1,123,2,8,6,8,6,8,146,147,6
1,124,2,0,4,0,4,0,188,177,0
1,125,2,2,1,2,1,2,192,192,1
1,126,3,7,3,7,3,7,211,212,3
1,127,3,5,7,5,7,5,274,229,5
1,128,3,5,3,5,5,3,221,222,5
1,129,3,6,8,6,8,6,190,191,8
1,130,3,6,4,6,6,4,203,160,4
1,131,3,6,0,6,0,6,162,155,6
1,132,3,8,5,8,8,5,182,183,8
1,133,3,2,6,2,6,2,255,230,2
1,134,3,6,1,6,6,1,156,156,6
1,135,3,2,3,2,3,2,159,158,2
1,136,3,3,9,3,9,3,171,172,9
1,137,3,4,1,4,4,1,197,188,1
1,138,4,6,7,6,6,7,163,164,6
1,139,4,4,5,4,4,5,190,177,5
1,140,4,9,1,9,1,9,207,193,9
1,141,4,8,0,8,8,0,227,203,0
1,142,4,5,6,5,5,6,188,107,6
1,143,4,1,5,1,1,5,198,193,5
1,144,4,8,7,8,7,8,218,173,8
1,145,4,4,6,4,6,4,176,178,6
1,146,4,8,9,8,8,9,172,170,9
1,147,4,7,0,7,7,0,177,147,0
1,148,4,5,2,5,5,2,273,231,2
1,149,4,1,0,1,1,0,186,189,1
1,150,5,6,3,6,3,6,180,133,6
1,151,5,5,9,5,5,9,168,171,5
1,152,5,5,1,5,5,1,187,188,5
1,153,5,2,8,2,8,2,199,145,2
1,154,5,1,7,1,7,1,221,210,1
1,155,5,5,8,5,5,8,190,169,8
1,156,5,3,1,3,1,3,204,205,1
1,157,5,7,9,7,7,9,200,201,7
1,158,5,3,7,3,3,7,167,167,3
1,159,5,2,7,2,7,2,211,185,2
1,160,5,7,4,7,7,4,190,194,7
1,161,5,0,5,0,5,0,257,197,0
1,162,6,9,7,9,9,7,147,148,9
1,163,6,7,5,7,7,5,203,206,7
1,164,6,5,4,5,4,5,183,186,4
1,165,6,3,4,3,4,3,215,202,3
1,166,6,4,3,4,3,4,205,178,4
1,167,6,0,6,0,6,0,189,192,6
1,168,6,6,2,6,2,6,215,167,6
1,169,6,4,9,4,4,9,191,193,4
1,170,6,9,3,9,3,9,131,132,3
1,171,6,4,2,4,4,2,193,180,2
1,172,6,3,2,3,2,3,122,124,2
1,173,6,8,2,8,8,2,169,175,8
1,174,7,0,8,0,8,0,250,231,0
1,175,7,7,8,7,7,8,225,170,8
1,176,7,6,5,6,5,6,181,184,5
1,177,7,2,4,2,4,2,226,210,2
1,178,7,1,9,1,1,9,166,148,9
1,179,7,0,2,0,2,0,216,216,0
2,180,0,7,4,7,7,4,246,247,7
2,181,0,9,2,9,2,9,187,169,9
2,182,0,9,6,9,9,6,253,213,6
2,183,0,8,3,8,3,8,175,115,8
2,184,0,8,5,8,5,8,176,96,8
2,185,0,5,6,5,6,5,218,174,5
2,186,0,6,3,6,6,3,167,170,6
2,187,0,2,1,2,1,2,128,120,2
2,188,0,4,6,4,4,6,240,241,4
2,189,0,7,9,7,7,9,188,169,9
2,190,0,3,5,3,5,3,152,153,5
2,191,0,5,8,5,8,5,155,156,8
2,192,1,7,3,7,3,7,232,228,7
2,193,1,8,1,8,8,1,261,206,1
2,194,1,2,0,2,2,0,253,173,0
2,195,1,7,2,7,2,7,209,177,7
2,196,1,4,1,4,1,4,197,199,1
2,197,1,5,0,5,5,0,212,176,0
2,198,1,6,9,6,9,6,202,173,6
2,199,1,1,6,1,6,1,168,169,6
2,200,1,3,0,3,3,0,178,148,0
2,201,1,1,3,1,3,1,128,129,3
2,202,1,8,6,8,8,6,161,163,8
2,203,1,3,2,3,3,2,203,204,3
2,204,2,1,7,1,7,1,207,169,1
2,205,2,0,5,0,0,5,193,196,0
2,206,2,9,8,9,9,8,199,200,9
2,207,2,2,3,2,2,3,209,187,3
2,208,2,5,7,5,7,5,181,144,5
2,209,2,5,1,5,5,1,165,162,1
2,210,2,6,8,6,6,8,148,150,6
2,211,2,0,6,0,0,6,263,264,0
2,212,2,6,0,6,6,0,224,222,0
2,213,2,7,1,7,7,1,117,118,7
2,214,2,0,1,0,1,0,208,186,0
2,215,2,7,0,7,7,0,186,188,7
2,216,3,4,5,4,4,5,202,204,4
2,217,3,5,4,5,4,5,256,155,5
2,218,3,3,8,3,3,8,185,188,3
2,219,3,0,9,0,0,9,211,190,9
2,220,3,7,5,7,5,7,205,208,5
2,221,3,5,9,5,5,9,223,208,9
2,222,3,8,0,8,0,8,190,175,8
2,223,3,9,5,9,9,5,191,193,9
2,224,3,1,9,1,9,1,146,150,9
2,225,3,3,7,3,7,3,285,234,3
2,226,3,1,5,1,5,1,164,165,5
2,227,3,8,4,8,8,4,172,140,4
2,228,4,9,1,9,9,1,257,150,1
2,229,4,1,2,1,2,1,188,185,1
2,230,4,2,7,2,2,7,147,148,2
2,231,4,0,3,0,3,0,139,142,3
2,232,4,2,8,2,2,8,184,168,8
2,233,4,1,0,1,1,0,223,192,0
2,234,4,0,4,0,0,4,198,183,4
2,235,4,3,6,3,3,6,208,210,3
2,236,4,9,7,9,7,9,248,249,7
2,237,4,5,3,5,3,5,180,181,3
2,238,4,2,4,2,2,4,208,177,4
2,239,4,9,4,9,9,4,175,138,4
2,240,5,5,2,5,2,5,234,111,5
2,241,5,6,1,6,1,6,203,205,1
2,242,5,4,2,4,2,4,174,177,2
2,243,5,3,1,3,3,1,182,188,3
2,244,5,6,7,6,6,7,148,149,6
2,245,5,2,9,2,2,9,219,170,9
2,246,5,0,7,0,0,7,205,205,0
2,247,5,6,5,6,6,5,179,182,6
2,248,5,0,8,0,0,8,112,115,0
2,249,5,1,4,1,4,1,200,171,1
2,250,5,9,0,9,0,9,209,159,9
2,251,5,3,9,3,9,3,183,185,9
2,252,6,7,6,7,6,7,114,115,6
2,253,6,4,0,4,4,0,177,116,0
2,254,6,3,4,3,4,3,220,172,3
2,255,6,2,6,2,2,6,188,187,6
2,256,6,4,7,4,7,4,218,166,4
2,257,6,4,9,4,4,9,224,202,9
2,258,6,0,2,0,0,2,196,187,2
2,259,6,8,9,8,9,8,281,248,8
2,260,6,1,8,1,1,8,155,156,1
2,261,6,9,3,9,3,9,193,175,9
2,262,6,8,2,8,2,8,165,166,2
2,263,6,7,8,7,8,7,207,176,7
2,264,7,4,8,4,4,8,183,182,8
2,265,7,4,3,4,4,3,222,100,3
2,266,7,8,7,8,8,7,189,109,7
2,267,7,6,4,6,4,6,271,243,6
2,268,7,6,2,6,6,2,195,198,6
2,269,7,2,5,2,5,2,175,155,2
